"week_start","TS_NaturalDisasters_norm_cov","TS_NaturalDisasters_gt","TS_EUPolitics_norm_cov","TS_EUPolitics_gt","TS_USPolitics_norm_cov","TS_USPolitics_gt","TS_MilitaryGeopolitics_norm_cov","TS_MilitaryGeopolitics_gt","TS_UkraineWar_norm_cov","TS_UkraineWar_gt","TS_EURightwing_norm_cov","TS_EURightwing_gt","TS_Diplomacy_norm_cov","TS_Diplomacy_gt","TS_IsraelGaza_norm_cov","TS_IsraelGaza_gt","TS_ClimateFires_norm_cov","TS_ClimateFires_gt","TS_Accidents_norm_cov","TS_Accidents_gt","TS_Elections_norm_cov","TS_Elections_gt","NYT_Diplomacy_norm_cov","NYT_Diplomacy_gt","NYT_AsiaGeopolitics_norm_cov","NYT_AsiaGeopolitics_gt","NYT_UkraineWar_norm_cov","NYT_UkraineWar_gt","NYT_IntLawCourts_norm_cov","NYT_IntLawCourts_gt","NYT_CrimeJustice_norm_cov","NYT_CrimeJustice_gt","NYT_Accidents_norm_cov","NYT_Accidents_gt","NYT_SyriaPolitics_norm_cov","NYT_SyriaPolitics_gt","NYT_GlobalLeaders_norm_cov","NYT_GlobalLeaders_gt","NYT_EconomicCrisis_norm_cov","NYT_EconomicCrisis_gt","NYT_IsraelGaza_norm_cov","NYT_IsraelGaza_gt","NYT_ReligionCulture_norm_cov","NYT_ReligionCulture_gt","NYT_Venezuela_norm_cov","NYT_Venezuela_gt"
2024-01-14,31.053373168783,10,29.7098577128843,13.8,16.5990387985136,1,100,32.75,24.6852208906307,23.4,10.9621137704029,11,38.1797594901135,17,31.1961712167235,24.75,17.1218490693385,17,23.5015852232327,13.8,23.7487711142856,0.5,37.2594451496084,17,52.3232483947876,8.6,30.1026637255543,10,66.1762694495736,13.2,53.2225922874023,13.2,48.8493095495692,28,19.7128374320555,3,13.6554630827509,2.8,56.1965886900395,9.4,42.5008699607779,17.5,13.9666955307542,11.2,17.3562653104991,2.8
2024-01-21,44.6879557661089,11,57.0203735517392,13.8,17.7885110003321,1.2,51.2010793250823,24.75,26.8345307164344,18.6,29.133161947992,10.4,63.6545556154403,15,38.9528408768832,27,32.449338975861,26.6666666666667,32.6226572319187,13.4,31.7070203104946,0.5,42.621076824365,15,39.3202762329537,9,38.2418434482533,12.75,84.9185080213743,19.6,47.4983928992453,19.6,54.7695874697409,26.8,16.2391289174023,3,22.4109270301384,3.4,56.3045526237857,11.2,45.4973023439818,17.5,15.3029959698602,11.8,24.1396792896967,3.4
2024-01-28,34.5213805212722,8.6,58.7567743924764,15.6,22.8271502901766,0.8,52.425442831939,21,32.5539394456587,20.4,19.1435702082066,10,59.6496542946431,14.6,43.4029250704936,28.25,44.2347221786106,13.6666666666667,16.1875936006633,12.4,31.1401885820031,0.5,61.4337809423437,14.6,34.5145743672631,9.8,27.5987145873945,11.25,71.38949520756,17.6,39.912908197437,17.6,46.9630989779857,28.4,18.8641966471951,5,20.8626926173687,2.6,60.188204673538,11.2,49.4082188770109,15.75,17.2651327670097,12.4,27.0177922086062,2.6
2024-02-04,52.308059937597,10,83.9168073745796,14.2,31.2491912570402,1.4,37.1553641168994,22.25,34.292886426828,27.2,33.0673834436097,9.2,41.463022941479,12.8,37.2631450956604,26,53.6359507695987,13.6666666666667,21.9586193837672,11.4,52.5568212320627,0.5,57.3675086215803,12.8,38.2407560561362,9.2,50.9121863328282,35.25,64.4401286188747,20,42.0755992839705,20,48.2577372510146,28.6,17.5254177351484,3.4,17.6418885786051,3.2,56.1146257182523,10.8,36.1577929093501,15.5,14.8267324282013,12.6,35.7962967042501,3.2
2024-02-11,23.2025954427641,9,61.4864056102359,15.4,37.3566863879456,1.4,35.0655671337502,30.5,68.8322997540056,30.8,24.2746086233563,9,30.3497329693763,16.4,60.2755404299579,24.5,40.0525734380207,11.6666666666667,27.2377784851398,8.8,34.6025586464679,0.75,50.6116229948533,16.4,29.7679667200178,8.4,67.993856276374,20.5,64.0712584872575,17.6,44.2547284359021,17.6,55.4788210291836,26.4,17.9853521078191,2.8,34.4172342902683,3.4,57.0486247134578,13.4,43.2934994348495,17,16.7132028726005,21.2,39.5910706777604,3.4
2024-02-18,34.2984363939118,10.4,68.0227367344774,23.6,14.9666691734723,1,39.7380958921997,22.75,77.4271570398583,31.8,24.1299552160542,11.2,44.5953214998249,17.6,23.1311151595633,20.5,60.1008877756791,13.6666666666667,38.0074404819793,6.6,24.7636825593915,0.25,30.4718700658515,17.6,33.1715428197347,9.2,58.8702517533252,18,78.332812047138,19.2,42.1570999709643,19.2,57.6143449370942,25,17.2249975495413,2.8,29.4292688219394,4.2,65.5554244360435,12,48.698536091652,14,15.0628155739922,13.4,30.9190014596266,4.2
2024-02-25,45.5924136641579,9.4,74.0738897640938,17,19.7506453173176,0.8,29.5787351468752,32,39.3617814540994,30,22.0035793326975,8.8,26.6483937841169,18.2,25.8156639602871,25,42.4428895255678,12.6666666666667,34.1830188013638,6.8,41.282684401586,0.5,34.3943719352005,18.2,31.6961411056564,9.6,41.8493341518685,14.75,41.2195649145002,18.4,36.908103803475,18.4,53.2190130636263,25,19.0268943854575,3,20.1589013195529,3.2,53.7825211846187,12.4,31.7415404342667,19.5,13.4844980328151,13.2,34.8459275126938,3.2
2024-03-03,39.189978785758,9.2,73.0926343370824,21.6,35.8173875007099,1.4,39.6941777894373,31.75,35.9939429266492,27.4,13.242810460544,9.2,33.8612329663901,18.6,33.4516254402141,25.25,37.7785137234484,13,39.2325035363902,8.2,49.2051012767403,0.5,38.2348770133536,18.6,26.5297825305481,12,45.041292675301,12.5,61.0360431215556,22,42.0044659118831,22,40.123542093475,28,13.1834637318114,2.8,19.1001249468692,3.6,65.6402687972235,12.4,29.0908354654125,18,13.1996907354339,12.8,34.0251203594322,3.6
2024-03-10,34.6673689157453,9.2,53.0362550108841,18.2,15.6169851092297,0.8,37.853954705066,23.5,50.9225671764262,32,29.919166724763,8.8,24.5708394241076,23.6,26.5737938045572,22.25,32.2812741991641,19.3333333333333,37.2967286821165,7,49.7864249050595,0.5,70.6926379288507,23.6,34.0481153888262,9.2,59.8925161429865,13.5,55.6324125998511,15,42.2471109119558,15,55.3520821897415,26.2,16.2317169272173,2.6,16.409577758897,2.8,54.2379616823983,12.4,47.7448592179375,16.75,12.0834534196318,12.8,27.8895121496495,2.8
2024-03-17,54.3317082956336,9.2,84.3415312336608,16.4,21.1554517880211,1,30.477604308991,31.5,68.4945498328264,39.4,27.0010931002675,8.6,45.8681720306848,23.6,36.7349365377612,20.25,65.9496817607465,13.3333333333333,23.0570210013061,7,34.0535105570502,0.75,63.985627706844,23.6,33.134369168053,11.6,73.5227125796441,18,69.7439167372581,16,59.223038159819,16,59.939363206735,26,16.7452939614469,2.6,26.2743738570546,3,53.0734494657247,11.8,33.4647680061773,15,16.8871282496756,14.2,35.7640107899498,3
