"headline","text","date"
"Bürgerrechtler fordern Rettung von Minenarbeitern ","
                            In Südafrika sitzen seit Monaten hunderte illegale Minenarbeiter unter Tage fest. Menschenrechtsaktivisten fordern eine schnelle Rettung der Menschen. Von Karin Wehrheim.
                            mehr
                        ","01.01.2025 • 15:45 Uhr"
"Russischer Erdgasexport über die Ukraine gestoppt","
                            Der Transitvertrag ist ausgelaufen - die Ukraine lässt wie angekündigt ab sofort kein russisches Gas mehr Richtung Westen durchleiten. Der ukrainische Energieminister sieht darin ein ""historisches Ereignis"".
                            mehr
                        ","01.01.2025 • 13:50 Uhr"
"Ungarn verliert Anspruch auf EU-Milliarden","
                            Ungarns Regierungschef Orban weigert sich, von der EU geforderte Rechtsstaatsreformen umzusetzen. Damit verfallen jetzt EU-Hilfen. Budapest reagiert verständnislos - setzt aber mittlerweile auf China.
                            mehr
                        ","01.01.2025 • 12:54 Uhr"
"Grenzkontrollen zu Rumänien und Bulgarien fallen weg","
                            Reisende mit dem Auto oder Zug mussten bisher an der Grenze zu Bulgarien und Rumänien ihren Ausweis vorzeigen. Das hat sich mit dem Jahreswechsel geändert. Die beiden südosteuropäischen Länder gehören nun vollständig zum Schengenraum.
                            mehr
                        ","01.01.2025 • 11:13 Uhr"
"Polen und die sieben Dimensionen von Sicherheit","
                            ""Sicherheit, Europa!"" Das Motto der polnischen EU-Ratspräsidentschaft macht deutlich, worum es Warschau im kommenden halben Jahr gehen wird. Sein Land werde dabei den Ton angeben, sagt Premier Tusk. Von M. Adam.
                            mehr
                        ","01.01.2025 • 08:49 Uhr"
"Taiwans Präsident bietet China Dialog an","
                            In seiner Neujahrsansprache hat Taiwans Präsident Lai China einen Dialog angeboten. Zuvor hatte der chinesische Präsident Xi jedoch erneut deutlich gemacht, dass sein Land seinen Anspruch auf den Nachbarn aufrecht erhält.
                            mehr
                        ","01.01.2025 • 05:09 Uhr"
"Die Welt feiert mit Feuerwerk, Berlin teils ohne Wasser","
                            In Ozeanien und Asien haben Milliarden Menschen bereits das neue Jahr begrüßt. In Berlin ist Deutschlands größte Silvesterparty in vollem Gange. In vielen Bezirken der Hauptstadt mussten die Menschen am Abend aber ohne Wasserversorgung feiern.
                            mehr
                        ","01.01.2025 • 00:16 Uhr"
"Gericht weist Minister Ben-Gvir in die Schranken","
                            Per Gesetz wollte sich Israels rechtsextremer Minister für nationale Sicherheit, Ben-Gvir, mehr Einfluss auf die Polizei sichern. Der Oberste Gerichtshof erklärte das Gesetz in Teilen für unwirksam. Ben-Gvir reagierte empört.
                            mehr
                        ","02.01.2025 • 20:30 Uhr"
"Was über den Attentäter bekannt ist","
                            Nach dem Attentat in New Orleans mit 14 Toten gehen die Behörden von einem islamistischen Hintergrund aus. Der mutmaßliche Täter war demnach US-Bürger und Afghanistan-Veteran. Was ist sonst über ihn bekannt?
                            mehr
                        ","02.01.2025 • 20:27 Uhr"
"Eine Schleifspur und ein schwerer Verdacht","
                            Experten vermuten, dass ein Anker das Stromkabel Estlink 2 beschädigt hat. Gegen sieben Matrosen des Öltankers ""Eagle S"" wird inzwischen ermittelt. Der Vorwurf: Sabotage. Bringt eine weitere Kontrolle des Schiffs nun mehr Klarheit?
                            mehr
                        ","02.01.2025 • 17:48 Uhr"
"Mindestens 27 Menschen vor Tunesien ertrunken","
                            Vor der Küste Tunesiens sind zwei Flüchtlingsboote gekentert, dabei ertranken mindestens 27 Menschen. Laut Behörden wird noch nach Vermissten gesucht. 83 Menschen konnten demnach gerettet werden.
                            mehr
                        ","02.01.2025 • 16:20 Uhr"
"Holocaust-Überlebende Keleti gestorben","
                            Sie überlebte den Holocaust und wurde zur erfolgreichen Olympiasportlerin: Nun ist Agnes Keleti mit 103 Jahren gestorben. Ihrem Sport blieb die fünffache Turn-Goldmedaillen-Gewinnerin lange treu.
                            mehr
                        ","02.01.2025 • 13:47 Uhr"
"Tesla explodiert vor Trump-Hotel in Las Vegas","
                            Bei einer Explosion eines Tesla Cybertruck vor einem Trump-Hotel in Las Vegas ist ein Mensch getötet worden. Die Behörden ermitteln wegen Terrorverdachts - und prüfen, ob es einen Zusammenhang mit dem Anschlag von New Orleans geben könnte.
                            mehr
                        ","02.01.2025 • 12:36 Uhr"
"Palästinenser verbieten Al Jazeera im Westjordanland ","
                            Al Jazeera darf im Westjordanland nicht mehr senden. Die Palästinensische Autonomiebehörde übergab entsprechende Anordnungen in Ramallah. Hintergrund dürften die Gefechte unter Palästinensern sein.
                            mehr
                        ","02.01.2025 • 11:45 Uhr"
"Zwölf Menschen in Montenegro erschossen","
                            Entsetzen und Staatstrauer in Montenegro: Ein Mann hat zwölf Menschen getötet - darunter auch Kinder. Als die Polizei ihn stellen wollte, erschoss er sich selbst. Die Regeln für Waffenbesitz sollen verschärft werden.
                            mehr
                        ","02.01.2025 • 10:48 Uhr"
"Südkoreanische Polizei durchsucht Flughafen","
                            Nach dem Flugzeugunglück von Muan gab es unter anderem am Airport eine Razzia - offenbar wegen des Vorwurfes der Fahrlässigkeit. Auch an der Absturzstelle wird weiter ermittelt. Aufschluss könnte ein Flugschreiber geben.
                            mehr
                        ","02.01.2025 • 08:34 Uhr"
"Warum war das French Quarter nicht besser geschützt?","
                            Der Terroranschlag in New Orleans bringt die Sicherheitsbehörden in Erklärungsnot. Poller, die solche Todesfahrten verhindern sollten, waren offenbar defekt. Für die Stadt steht viel auf dem Spiel. Von Julia Kastein.
                            mehr
                        ","02.01.2025 • 08:02 Uhr"
"Anschlag von New Orleans wohl islamistisch motiviert","
                            Im Ausgehviertel von New Orleans ist ein Mann in der Silvesternacht mit einem Pick-up in eine Menschenmenge gerast. Jetzt verdichten sich die Hinweise, dass die Tat islamistisch motiviert gewesen ist. Die Zahl der Todesopfer stieg auf 15.
                            mehr
                        ","02.01.2025 • 06:05 Uhr"
"Der Ukraine fehlen Millionen Arbeitskräfte","
                            Nach Beginn des russischen Großangriffs vor fast drei Jahren brachen Wirtschaft und Arbeitsmarkt in der Ukraine stark ein. Tod, Verletzung oder Flucht führen dazu, dass viele Branchen händeringend Personal suchen. Von A. Beer.
                            mehr
                        ","02.01.2025 • 03:47 Uhr"
"Was über die Tat in New Orleans bekannt ist","
                            In New Orleans ist ein Mann mit einem Pick-up in eine Menschenmenge gerast. In seinem Wagen fanden Ermittler eine IS-Flagge. Was ist über den Täter bekannt? Wie viele Opfer gab es? Ein Überblick über das, was bislang bekannt ist.
                            mehr
                        ","02.01.2025 • 01:46 Uhr"
"""Wir messen die neuen Machthaber an ihren Taten""","
                            Außenministerin Baerbock sieht nach ihrem Besuch in Syrien mit Sorge auf den politischen Übergangsprozess. Man müsse die Unterstützung der neuen Regierung davon abhängig machen, wie sie mit Frauen- und Minderheitenrechten umgehe, sagte sie in den tagesthemen.
                            mehr
                        ","03.01.2025 • 22:59 Uhr"
"Republikaner Johnson als Sprecher wiedergewählt","
                            Der Republikaner Mike Johnson ist als Vorsitzender des US-Repräsentantenhauses wiedergewählt worden. Er wurde bereits im ersten Wahlgang in dem mächtigen Amt bestätigt - obwohl es zunächst anders aussah.
                            mehr
                        ","03.01.2025 • 21:16 Uhr"
"ÖVP und SPÖ setzen Gespräche zu zweit fort","
                            Nach den gescheiterten Gesprächen über ein Dreierbündnis wollen ÖVP und SPÖ nun zu zweit verhandeln - das gab Österreichs Bundespräsident Van der Bellen bekannt. Beide Parteien hätten jedoch nur eine Stimme Mehrheit im Parlament.
                            mehr
                        ","03.01.2025 • 20:25 Uhr"
"Gibt es ein neues Drama um den Sprecher?","
                            Der neu besetzte US-Kongress ist zu seiner konstituierenden Sitzung zusammengekommen. Obwohl in beiden Kammern die Republikaner die Mehrheit haben, muss einer der mächtigsten von ihnen um seinen Posten bangen.
                            mehr
                        ","03.01.2025 • 19:37 Uhr"
"Klare Forderungen an Syriens Machthaber","
                            Außenministerin Baerbock hat der neuen syrischen Führung bei ihrem Besuch in Damaskus klare Bedingungen für die Unterstützung Europas gestellt. Auf einen Handschlag muss sie verzichten. Von Sabina Matthay.
                            mehr
                        ","03.01.2025 • 18:53 Uhr"
"Schuldzuweisungen in Österreich","
                            Nach dem Ausstieg der liberalen NEOS aus den Koalitionsverhandlungen in Österreich schieben sich die Parteien gegenseitig die Schuld zu. Ob es zu Neuwahlen kommt, ist noch unklar. Von Silke Hahne.
                            mehr
                        ","03.01.2025 • 18:24 Uhr"
"Koalitionsverhandlungen in Österreich gescheitert","
                            In Österreich sind die Koalitionsverhandlungen zwischen ÖVP, SPÖ und den NEOS gescheitert. Die liberalen NEOS verkündeten den Ausstieg. Sollte es zu Neuwahlen kommen, könnte die rechte FPÖ profitieren.
                            mehr
                        ","03.01.2025 • 14:51 Uhr"
"Mehr als 46.000 Flüchtlinge erreichten Kanaren","
                            Strengere Kontrollen im Mittelmeer führen zu einer Verlagerung von Fluchtrouten. 2024 erreichten mehr als 46.000 Flüchtlinge die Kanarischen Inseln - etwa 7.000 mehr Menschen als 2023. Dabei ist die Route sehr gefährlich.
                            mehr
                        ","03.01.2025 • 14:48 Uhr"
"Grönlands Regierungschef distanziert sich von Dänemark","
                            ""Fesseln des Kolonialismus"" beseitigen: Mit ungewöhnlich klaren Worten hat sich Grönlands Regierungschef Egede für eine Unabhängigkeit von Dänemark ausgesprochen. Donald Trump und dessen Interesse an der Insel kamen in seiner Rede nicht vor.
                            mehr
                        ","03.01.2025 • 14:12 Uhr"
"Baerbock besucht Assads Foltergefängnis Saidnaja","
                            Im Saidnaja-Gefängnis ließ der syrische Machthaber Assad foltern und hinrichten. Heute besichtigte Außenministerin Baerbock den Ort des Schreckens. Sie forderte internationale Bemühungen, um die Täter zu verfolgen.
                            mehr
                        ","03.01.2025 • 13:14 Uhr"
"""Jeden Tag in Gefahr, zu sterben""","
                            In der Dünenlandschaft von al Mawasi haben Zehntausende Zwangsvertriebene aus Gaza Notquartiere errichtet. Die Bedingungen in den Zelten sind hart. Einige Säuglinge sterben, da sie nicht ausreichend versorgt werden können. Von Clemens Verenkotte.
                            mehr
                        ","03.01.2025 • 12:50 Uhr"
"Wird die ""Speaker""-Wahl wieder zur Zitterpartie?","
                            Mike Johnson ist ein loyaler Begleiter des künftigen US-Präsidenten Trump. Er würde gern den einflussreichen Posten des Sprechers im Repräsentantenhaus behalten - doch seine Wiederwahl wackelt. Von Sebastian Hesse
                            mehr
                        ","03.01.2025 • 12:02 Uhr"
